destination_id,service_id,title,slug,query,parent_hub,parent_hub_url,current_url,target_url,url_action,current_wp_id,current_post_type,target_template,excluded_primary_intents,business_evidence,semantic_evidence,boundary,publication_status
S1-CHILD-SKETCH,S1,Эскизный проект участка,eskiznyj-proekt-uchastka,заказать эскизный проект участка,S1-HUB,https://exp76.ru/services/landshaftnoe-proektirovanie/,,https://exp76.ru/eskiznyj-proekt-uchastka/,create,,,newservicepost.php,,business_source:service-v2/landshaftnoe-proektirovanie.json#scope[Эскиз и зонирование],raw/expanded-serp/yandex-api-Q000155.jsonl|Q000155,"Эскиз, зонирование и концепция; полный комплект проекта остаётся хабу.",ready
S11-CHILD-CAFE-OUTDOOR,S11,Туманообразование для кафе и открытых площадок,tumanoobrazovanie-dlya-kafe-i-letnih-ploshchadok,система туманообразования для кафе ярославль,S11-HUB,https://exp76.ru/services/sistemy-tumanoobrazovaniya/,,https://exp76.ru/tumanoobrazovanie-dlya-kafe-i-letnih-ploshchadok/,create,,,newservicepost.php,автополив|внутреннее промышленное увлажнение|гарантированный агрономический результат|гарантированное снижение температуры на 15 градусов,business_source:wp-rest/pages/6922#content[kafe-restorany+otkrytye-ploshhadki],yandex_suggest:seo-data/2026-08-exp76-services/processed/legacy_suggestion_candidates_v2.csv#destination_id=S11-CHILD-CAFE-OUTDOOR;verified=2026-08-29,"Включено: монтаж туманообразования на летней коммерческой площадке. Исключённые основные интенты: автополив, внутреннее промышленное увлажнение, гарантированный агрономический результат, гарантированное снижение температуры на 15 градусов.",ready
S11-CHILD-GREENHOUSE,S11,Туманообразование для теплиц и оранжерей,tumanoobrazovanie-dlya-teplic-i-oranzherej,система туманообразования для теплицы ярославль,S11-HUB,https://exp76.ru/services/sistemy-tumanoobrazovaniya/,,https://exp76.ru/tumanoobrazovanie-dlya-teplic-i-oranzherej/,create,,,newservicepost.php,автополив|внутреннее промышленное увлажнение|гарантированный агрономический результат|гарантированное снижение температуры на 15 градусов,business_source:wp-rest/pages/6922#content[oranzherei-i-teplicy],yandex_suggest:seo-data/2026-08-exp76-services/processed/legacy_suggestion_candidates_v2.csv#destination_id=S11-CHILD-GREENHOUSE;verified=2026-08-29,"Включено: монтаж туманообразования для микроклимата растений. Исключённые основные интенты: автополив, внутреннее промышленное увлажнение, гарантированный агрономический результат, гарантированное снижение температуры на 15 градусов.",ready
S12-CHILD-DRIVING,S12,Забивка и монтаж железобетонных свай,zabivka-zhelezobetonnyh-svaj,забивка железобетонных свай ярославль,S12-HUB,https://exp76.ru/services/fundament-na-zhelezobetonnykh-svajakh/,,https://exp76.ru/zabivka-zhelezobetonnyh-svaj/,create,,,newservicepost.php,винтовые сваи|буронабивные сваи|неподтверждённые ростверк и геология|раздельная публикация object-variants без SERP overlap-check,business_source:wp-rest/pages/9138#content[zabivnye-zhb-svai+kvadratnoe-sechenie],yandex_suggest:seo-data/2026-08-exp76-services/processed/legacy_suggestion_candidates_v2.csv#destination_id=S12-CHILD-DRIVING;verified=2026-08-29,"Включено: забивка и монтаж железобетонных свай. Исключённые основные интенты: винтовые сваи, буронабивные сваи, неподтверждённые ростверк и геология, раздельная публикация object-variants без SERP overlap-check.",ready
S12-CHILD-PRIVATE-HOUSE,S12,Фундамент на ЖБ сваях для частного дома,fundament-na-zhb-svayah-dlya-chastnogo-doma,фундамент на железобетонных сваях для частного дома ярославль,S12-HUB,https://exp76.ru/services/fundament-na-zhelezobetonnykh-svajakh/,,https://exp76.ru/fundament-na-zhb-svayah-dlya-chastnogo-doma/,create,,,newservicepost.php,винтовые сваи|буронабивные сваи|неподтверждённые ростверк и геология|раздельная публикация object-variants без SERP overlap-check,business_source:wp-rest/pages/9138#content[generic-fundament-na-zhelezobetonnykh-svajakh],yandex_suggest:seo-data/2026-08-exp76-services/processed/legacy_suggestion_candidates_v2.csv#destination_id=S12-CHILD-PRIVATE-HOUSE;verified=2026-08-29,"Включено: фундамент на железобетонных сваях для частного дома. Исключённые основные интенты: винтовые сваи, буронабивные сваи, неподтверждённые ростверк и геология, раздельная публикация object-variants без SERP overlap-check.",ready
S12-CHILD-BATHHOUSE,S12,Фундамент на ЖБ сваях для бани,fundament-na-zhb-svayah-dlya-bani,фундамент на железобетонных сваях для бани ярославль,S12-HUB,https://exp76.ru/services/fundament-na-zhelezobetonnykh-svajakh/,,https://exp76.ru/fundament-na-zhb-svayah-dlya-bani/,create,,,newservicepost.php,винтовые сваи|буронабивные сваи|неподтверждённые ростверк и геология|раздельная публикация object-variants без SERP overlap-check,business_source:wp-rest/pages/9138#content[generic-fundament-na-zhelezobetonnykh-svajakh],yandex_suggest:seo-data/2026-08-exp76-services/processed/legacy_suggestion_candidates_v2.csv#destination_id=S12-CHILD-BATHHOUSE;verified=2026-08-29,"Включено: фундамент на железобетонных сваях для бани. Исключённые основные интенты: винтовые сваи, буронабивные сваи, неподтверждённые ростверк и геология, раздельная публикация object-variants без SERP overlap-check.",ready
S13-CHILD-CARPORT,S13,Навес для автомобиля,naves-dlya-avtomobilya,навес для автомобиля ярославль с установкой,S13-HUB,https://exp76.ru/services/navesy-iz-metalla/,,https://exp76.ru/naves-dlya-avtomobilya/,create,,,newservicepost.php,"гараж и парковочная площадка|капитальная пристройка|печной комплекс|неподтверждённые сроки, бренды и гарантии",business_source:wp-rest/pages/9312#content[navesy-dlja-avtomobilja],yandex_suggest:seo-data/2026-08-exp76-services/processed/legacy_suggestion_candidates_v2.csv#destination_id=S13-CHILD-CARPORT;verified=2026-08-29,"Включено: изготовление и монтаж металлического навеса для автомобиля. Исключённые основные интенты: гараж и парковочная площадка, капитальная пристройка, печной комплекс, неподтверждённые сроки, бренды и гарантии.",ready
S13-CHILD-TERRACE,S13,Навес для террасы и веранды,naves-dlya-terrasy-i-verandy,навес для террасы ярославль с установкой,S13-HUB,https://exp76.ru/services/navesy-iz-metalla/,,https://exp76.ru/naves-dlya-terrasy-i-verandy/,create,,,newservicepost.php,"гараж и парковочная площадка|капитальная пристройка|печной комплекс|неподтверждённые сроки, бренды и гарантии",business_source:wp-rest/pages/9312#content[verandy-terrasy+dachnye-navesy],yandex_suggest:seo-data/2026-08-exp76-services/processed/legacy_suggestion_candidates_v2.csv#destination_id=S13-CHILD-TERRACE;verified=2026-08-29,"Включено: изготовление и монтаж навеса для террасы или веранды. Исключённые основные интенты: гараж и парковочная площадка, капитальная пристройка, печной комплекс, неподтверждённые сроки, бренды и гарантии.",ready
S13-CHILD-BARBECUE,S13,Навес для зоны барбекю,naves-dlya-zony-barbekyu,навес для зоны барбекю ярославль,S13-HUB,https://exp76.ru/services/navesy-iz-metalla/,,https://exp76.ru/naves-dlya-zony-barbekyu/,create,,,newservicepost.php,"гараж и парковочная площадка|капитальная пристройка|печной комплекс|неподтверждённые сроки, бренды и гарантии",business_source:wp-rest/pages/9312#content[navesy-dlja-barbekju],yandex_suggest:seo-data/2026-08-exp76-services/processed/legacy_suggestion_candidates_v2.csv#destination_id=S13-CHILD-BARBECUE;verified=2026-08-29,"Включено: изготовление и монтаж навеса над зоной барбекю. Исключённые основные интенты: гараж и парковочная площадка, капитальная пристройка, печной комплекс, неподтверждённые сроки, бренды и гарантии.",ready
S13-CHILD-POLYCARBONATE-HOME,S13,Навес из поликарбоната к дому,naves-iz-polikarbonata-k-domu,навес из поликарбоната к дому ярославль,S13-HUB,https://exp76.ru/services/navesy-iz-metalla/,,https://exp76.ru/naves-iz-polikarbonata-k-domu/,create,,,newservicepost.php,"гараж и парковочная площадка|капитальная пристройка|печной комплекс|неподтверждённые сроки, бренды и гарантии",business_source:wp-rest/pages/9312#content[pristrojki-iz-polikarbonata],yandex_suggest:seo-data/2026-08-exp76-services/processed/legacy_suggestion_candidates_v2.csv#destination_id=S13-CHILD-POLYCARBONATE-HOME;verified=2026-08-29,"Включено: изготовление лёгкого навеса из поликарбоната к дому. Исключённые основные интенты: гараж и парковочная площадка, капитальная пристройка, печной комплекс, неподтверждённые сроки, бренды и гарантии.",ready
S14-CHILD-FIREPLACE,S14,Строительство камина,stroitelstvo-kamina,строительство камина ярославль,S14-HUB,https://exp76.ru/services/kaminy-pechi-barbekju/,,https://exp76.ru/stroitelstvo-kamina/,create,,,newservicepost.php,продажа готового печного оборудования|котлы и отопительное оборудование|продажа переносных мангалов|металлический навес|неподтверждённые технические и гарантийные обещания,business_source:wp-rest/pages/9775#content[kaminy],yandex_suggest:seo-data/2026-08-exp76-services/processed/legacy_suggestion_candidates_v2.csv#destination_id=S14-CHILD-FIREPLACE;verified=2026-08-29,"Включено: строительство кладочного камина. Исключённые основные интенты: продажа готового печного оборудования, котлы и отопительное оборудование, продажа переносных мангалов, металлический навес, неподтверждённые технические и гарантийные обещания.",ready
S14-CHILD-HEATING-STOVE,S14,Кладка отопительной печи,kladka-otopitelnoj-pechi,кладка отопительной печи ярославль,S14-HUB,https://exp76.ru/services/kaminy-pechi-barbekju/,,https://exp76.ru/kladka-otopitelnoj-pechi/,create,,,newservicepost.php,продажа готового печного оборудования|котлы и отопительное оборудование|продажа переносных мангалов|металлический навес|неподтверждённые технические и гарантийные обещания,business_source:wp-rest/pages/9775#content[otopitelnye-pechi],yandex_suggest:seo-data/2026-08-exp76-services/processed/legacy_suggestion_candidates_v2.csv#destination_id=S14-CHILD-HEATING-STOVE;verified=2026-08-29,"Включено: кладка отопительной печи. Исключённые основные интенты: продажа готового печного оборудования, котлы и отопительное оборудование, продажа переносных мангалов, металлический навес, неподтверждённые технические и гарантийные обещания.",ready
S14-CHILD-BARBECUE,S14,Барбекю-комплекс под ключ,barbekyu-kompleks-pod-klyuch,барбекю комплекс под ключ ярославль,S14-HUB,https://exp76.ru/services/kaminy-pechi-barbekju/,,https://exp76.ru/barbekyu-kompleks-pod-klyuch/,create,,,newservicepost.php,продажа готового печного оборудования|котлы и отопительное оборудование|продажа переносных мангалов|металлический навес|неподтверждённые технические и гарантийные обещания,business_source:wp-rest/pages/9775#content[barbekju-kompleksy+grili],yandex_suggest:seo-data/2026-08-exp76-services/processed/legacy_suggestion_candidates_v2.csv#destination_id=S14-CHILD-BARBECUE;verified=2026-08-29,"Включено: строительство стационарного барбекю-комплекса. Исключённые основные интенты: продажа готового печного оборудования, котлы и отопительное оборудование, продажа переносных мангалов, металлический навес, неподтверждённые технические и гарантийные обещания.",ready
S14-CHILD-BRICK-GRILL,S14,Кирпичный мангал,kirpichnyj-mangal,кладка кирпичного мангала ярославль,S14-HUB,https://exp76.ru/services/kaminy-pechi-barbekju/,,https://exp76.ru/kirpichnyj-mangal/,create,,,newservicepost.php,продажа готового печного оборудования|котлы и отопительное оборудование|продажа переносных мангалов|металлический навес|неподтверждённые технические и гарантийные обещания,business_source:wp-rest/pages/9775#content[mangaly+kirpichnaja-kladka],yandex_suggest:seo-data/2026-08-exp76-services/processed/legacy_suggestion_candidates_v2.csv#destination_id=S14-CHILD-BRICK-GRILL;verified=2026-08-29,"Включено: кладка стационарного кирпичного мангала. Исключённые основные интенты: продажа готового печного оборудования, котлы и отопительное оборудование, продажа переносных мангалов, металлический навес, неподтверждённые технические и гарантийные обещания.",ready
S14-CHILD-CAULDRON-SMOKEHOUSE,S14,Печь с казаном и коптильней,pech-s-kazanom-i-koptilnej,печь с казаном и коптильней ярославль,S14-HUB,https://exp76.ru/services/kaminy-pechi-barbekju/,,https://exp76.ru/pech-s-kazanom-i-koptilnej/,create,,,newservicepost.php,продажа готового печного оборудования|котлы и отопительное оборудование|продажа переносных мангалов|металлический навес|неподтверждённые технические и гарантийные обещания,business_source:wp-rest/pages/9775#content[pech-pod-kazan+koptilnja],yandex_suggest:seo-data/2026-08-exp76-services/processed/legacy_suggestion_candidates_v2.csv#destination_id=S14-CHILD-CAULDRON-SMOKEHOUSE;verified=2026-08-29,"Включено: индивидуальная комплектация печного комплекса, не магазин оборудования. Исключённые основные интенты: продажа готового печного оборудования, котлы и отопительное оборудование, продажа переносных мангалов, металлический навес, неподтверждённые технические и гарантийные обещания.",ready
S15-CHILD-PRIVATE-HOUSE,S15,Снос частного дома,snos-chastnogo-doma,снос частного дома ярославль цена,S15-HUB,https://exp76.ru/services/snos-i-demontazh-zdanijj-domov/,,https://exp76.ru/snos-chastnogo-doma/,create,,,newservicepost.php,"промышленный и высотный снос|исторические объекты|общий вывоз бытового мусора|неподтверждённые разрешения, режим 24/7 и любой масштаб",business_source:wp-rest/pages/9838#content[snos-domov],yandex_suggest:seo-data/2026-08-exp76-services/processed/legacy_suggestion_candidates_v2.csv#destination_id=S15-CHILD-PRIVATE-HOUSE;verified=2026-08-29,"Включено: снос частного жилого или дачного дома. Исключённые основные интенты: промышленный и высотный снос, исторические объекты, общий вывоз бытового мусора, неподтверждённые разрешения, режим 24/7 и любой масштаб.",ready
S15-CHILD-COUNTRY-HOUSE,S15,Демонтаж дачного дома и строений,demontazh-dachnogo-doma,демонтаж дачного дома с вывозом ярославль,S15-HUB,https://exp76.ru/services/snos-i-demontazh-zdanijj-domov/,,https://exp76.ru/demontazh-dachnogo-doma/,create,,,newservicepost.php,"промышленный и высотный снос|исторические объекты|общий вывоз бытового мусора|неподтверждённые разрешения, режим 24/7 и любой масштаб",business_source:wp-rest/pages/9838#content[zdanija-i-sooruzhenija+dachnye-doma],yandex_suggest:seo-data/2026-08-exp76-services/processed/legacy_suggestion_candidates_v2.csv#destination_id=S15-CHILD-COUNTRY-HOUSE;verified=2026-08-29,"Включено: демонтаж небольшого дачного дома и строений. Исключённые основные интенты: промышленный и высотный снос, исторические объекты, общий вывоз бытового мусора, неподтверждённые разрешения, режим 24/7 и любой масштаб.",ready
S15-CHILD-DANGEROUS-BUILDING,S15,Демонтаж аварийных зданий,demontazh-avarijnyh-zdanij,снос аварийных зданий ярославль,S15-HUB,https://exp76.ru/services/snos-i-demontazh-zdanijj-domov/,,https://exp76.ru/demontazh-avarijnyh-zdanij/,create,,,newservicepost.php,"промышленный и высотный снос|исторические объекты|общий вывоз бытового мусора|неподтверждённые разрешения, режим 24/7 и любой масштаб",business_source:wp-rest/pages/9838#content[avarijnye-obekty],yandex_suggest:seo-data/2026-08-exp76-services/processed/legacy_suggestion_candidates_v2.csv#destination_id=S15-CHILD-DANGEROUS-BUILDING;verified=2026-08-29,"Включено: демонтаж аварийного здания в допустимом масштабе. Исключённые основные интенты: промышленный и высотный снос, исторические объекты, общий вывоз бытового мусора, неподтверждённые разрешения, режим 24/7 и любой масштаб.",ready
S15-CHILD-MANUAL,S15,Ручная разборка зданий,ruchnaya-razborka-zdanij,ручная разборка зданий ярославль,S15-HUB,https://exp76.ru/services/snos-i-demontazh-zdanijj-domov/,,https://exp76.ru/ruchnaya-razborka-zdanij/,create,,,newservicepost.php,"промышленный и высотный снос|исторические объекты|общий вывоз бытового мусора|неподтверждённые разрешения, режим 24/7 и любой масштаб",business_source:wp-rest/pages/9838#content[ruchnoj-razbor],yandex_suggest:seo-data/2026-08-exp76-services/processed/legacy_suggestion_candidates_v2.csv#destination_id=S15-CHILD-MANUAL;verified=2026-08-29,"Включено: ручная разборка здания при ограниченном доступе. Исключённые основные интенты: промышленный и высотный снос, исторические объекты, общий вывоз бытового мусора, неподтверждённые разрешения, режим 24/7 и любой масштаб.",ready
S15-CHILD-MECHANIZED,S15,Механизированный снос зданий,mehanizirovannyj-snos-zdanij,механизированный снос зданий ярославль,S15-HUB,https://exp76.ru/services/snos-i-demontazh-zdanijj-domov/,,https://exp76.ru/mehanizirovannyj-snos-zdanij/,create,,,newservicepost.php,"промышленный и высотный снос|исторические объекты|общий вывоз бытового мусора|неподтверждённые разрешения, режим 24/7 и любой масштаб",business_source:wp-rest/pages/9838#content[mehanizirovannyj-razbor+spec-tehnika],yandex_suggest:seo-data/2026-08-exp76-services/processed/legacy_suggestion_candidates_v2.csv#destination_id=S15-CHILD-MECHANIZED;verified=2026-08-29,"Включено: только доступная компании техника и допустимый масштаб. Исключённые основные интенты: промышленный и высотный снос, исторические объекты, общий вывоз бытового мусора, неподтверждённые разрешения, режим 24/7 и любой масштаб.",ready
S15-CHILD-DEBRIS,S15,Вывоз строительного мусора после сноса,vyvoz-stroitelnogo-musora-posle-snosa,вывоз строительного мусора после сноса ярославль,S15-HUB,https://exp76.ru/services/snos-i-demontazh-zdanijj-domov/,,https://exp76.ru/vyvoz-stroitelnogo-musora-posle-snosa/,create,,,newservicepost.php,"промышленный и высотный снос|исторические объекты|общий вывоз бытового мусора|неподтверждённые разрешения, режим 24/7 и любой масштаб",business_source:wp-rest/pages/9838#content[sortirovka+pogruzka+vyvoz],yandex_suggest:seo-data/2026-08-exp76-services/processed/legacy_suggestion_candidates_v2.csv#destination_id=S15-CHILD-DEBRIS;verified=2026-08-29,"Включено: только как часть или результат демонтажа, не общий вывоз любого мусора. Исключённые основные интенты: промышленный и высотный снос, исторические объекты, общий вывоз бытового мусора, неподтверждённые разрешения, режим 24/7 и любой масштаб.",ready
